review_year,app_name,score_not_recommend
2010.0,Alien Swarm,-0.5
2011.0,Alien Swarm,-0.5
2012.0,Alien Swarm,-0.5
2013.0,Alien Swarm,-0.5
2014.0,Alien Swarm,1.5
2015.0,Alien Swarm,0.5
2010.0,Amnesia: The Dark Descent,0.06976744186046512
2011.0,Amnesia: The Dark Descent,0.06976744186046512
2012.0,Amnesia: The Dark Descent,0.06976744186046512
2013.0,Amnesia: The Dark Descent,0.06976744186046512
2014.0,Amnesia: The Dark Descent,0.06976744186046512
2015.0,Amnesia: The Dark Descent,0.06976744186046512
2010.0,ArcaniA,0.0
2010.0,AudioSurf,-0.425
2011.0,AudioSurf,-0.425
2012.0,AudioSurf,-0.425
2013.0,AudioSurf,0.575
2014.0,AudioSurf,-0.425
2015.0,AudioSurf,-0.425
2010.0,Chime,-0.5
2014.0,Chime,-0.5
2010.0,Civilization IV: Beyond the Sword,0.0
2013.0,Civilization IV: Beyond the Sword,0.0
2010.0,Counter-Strike: Source,-0.4810126582278481
2011.0,Counter-Strike: Source,0.5189873417721519
2012.0,Counter-Strike: Source,-0.4810126582278481
2013.0,Counter-Strike: Source,1.518987341772152
2014.0,Counter-Strike: Source,5.518987341772152
2015.0,Counter-Strike: Source,1.518987341772152
2010.0,DOOM II,-0.3333333333333333
2015.0,DOOM II,-0.3333333333333333
2010.0,Day of Defeat: Source,-0.5
2011.0,Day of Defeat: Source,-0.5
2012.0,Day of Defeat: Source,-0.5
2013.0,Day of Defeat: Source,-0.5
2014.0,Day of Defeat: Source,0.5
2015.0,Day of Defeat: Source,0.5
2010.0,Dragon Age: Origins,-1.0
2013.0,Dragon Age: Origins,-1.0
2014.0,Dragon Age: Origins,-1.0
2010.0,Empire: Total War™,-0.3611111111111111
2011.0,Empire: Total War™,-0.3611111111111111
2012.0,Empire: Total War™,-0.3611111111111111
2013.0,Empire: Total War™,-0.3611111111111111
2014.0,Empire: Total War™,-0.3611111111111111
2015.0,Empire: Total War™,-0.3611111111111111
2010.0,Fallout: New Vegas,-0.4198895027624309
2011.0,Fallout: New Vegas,-0.4198895027624309
2012.0,Fallout: New Vegas,-0.4198895027624309
2013.0,Fallout: New Vegas,-0.4198895027624309
2014.0,Fallout: New Vegas,0.580110497237569
2015.0,Fallout: New Vegas,3.5801104972375692
2010.0,Garry's Mod,-0.3626760563380282
2011.0,Garry's Mod,-0.3626760563380282
2012.0,Garry's Mod,-0.3626760563380282
2013.0,Garry's Mod,1.6373239436619718
2014.0,Garry's Mod,18.637323943661972
2015.0,Garry's Mod,15.637323943661972
2010.0,IL-2 Sturmovik: 1946,-0.3333333333333333
2012.0,IL-2 Sturmovik: 1946,-0.3333333333333333
